"platform","hospital","x","est","lo","hi"
"Versius","SM",1,269.223098049825,234.882459737723,308.217461546588
"Versius","SM",2,264.532995972916,232.286508052328,300.772856564932
"Versius","SM",3,259.925839065918,229.979431799132,292.969110879448
"Versius","SM",4,255.402071668132,227.575838922417,285.691712123487
"Versius","SM",5,250.962813643074,225.045302021476,278.979556229495
"Versius","SM",6,246.609595630596,222.252349758761,272.202355230102
"Versius","SM",7,242.343942706971,219.56511291783,265.681953980853
"Versius","SM",8,238.167537682141,216.681614705389,259.968175329604
"Versius","SM",9,234.082198032043,213.484653571014,254.76649829639
"Versius","SM",10,230.089774331274,210.788354719784,249.594443010301
"Versius","SM",11,226.192064506962,207.958404818959,244.256094427855
"Versius","SM",12,222.39074288053,205.042445080903,239.70436572956
"Versius","SM",13,218.687302921431,202.36693523161,235.434255828847
"Versius","SM",14,215.083012598277,199.832040075024,231.276812471195
"Versius","SM",15,211.578881183167,197.02736956697,227.211409838328
"Versius","SM",16,208.175636347687,194.203176822276,223.674747469879
"Versius","SM",17,204.873743288092,191.34633149555,219.934983766054
"Versius","SM",18,201.673493521885,188.313912711181,216.474928735587
"Versius","SM",19,198.574900492178,185.322834411112,213.270164264852
"Versius","SM",20,195.577673446661,182.596686152038,210.016001440049
"Versius","SM",21,192.681230121511,179.999387618899,207.206209052876
"Versius","SM",22,189.884713312755,177.48954096402,203.958489554784
"Versius","SM",23,187.187010456158,174.906617301474,201.397926767944
"Versius","SM",24,184.586775403305,172.510595634259,198.495975465603
"Versius","SM",25,182.082451652548,170.159178878646,195.677747319155
"Versius","SM",26,179.672296367085,168.002214518102,193.005051375693
"Versius","SM",27,177.354404587122,165.950081863,190.620263585781
"Versius","SM",28,175.126733117511,163.838769093027,188.159863264413
"Versius","SM",29,172.987123645469,161.905716141127,185.838822837831
"Versius","SM",30,170.933324714163,160.128911886049,183.735218873137
"Versius","SM",31,168.963012246524,158.434680883339,181.457462947821
"Versius","SM",32,167.073808379169,156.45927032364,179.522570096353
"Versius","SM",33,165.26329842852,154.675082793859,177.467331272973
"Versius","SM",34,163.529045869876,153.071231476788,175.665267456311
"Versius","SM",35,161.868605265148,151.597432269869,173.826449338718
"Versius","SM",36,160.279533126103,150.173353999959,171.965450607221
"Versius","SM",37,158.759396747147,148.685633897674,170.281641440526
"Versius","SM",38,157.305781084723,147.317835409384,168.701040114745
"Versius","SM",39,155.916293799239,146.232355162951,167.148485176992
"Versius","SM",40,154.588568609819,145.086722625778,165.5749397731
"Versius","SM",41,153.320267141948,143.954401407564,164.023289196698
"Versius","SM",42,152.109079473066,142.8319288337,162.682264461585
"Versius","SM",43,150.952723601187,141.80235828602,161.511708220215
"Versius","SM",44,149.848944076499,140.830341393979,160.295981507428
"Versius","SM",45,148.795510045526,139.800009734657,159.096412168032
"Versius","SM",46,147.790212961727,138.909458556812,157.84929603358
"Versius","SM",47,146.830864215339,138.109073063288,156.771195869016
"Versius","SM",48,145.915292928792,137.241113509836,155.839925086573
"Versius","SM",49,145.041344152349,136.630510401902,154.708857428089
"Versius","SM",50,144.206877677802,135.798327740594,153.885853688971
"Versius","SM",51,143.409767666348,135.051121181929,153.027857590084
"Versius","SM",52,142.647903260497,134.452150262902,152.078726856186
"Versius","SM",53,141.919190319449,133.814406748999,151.287314619173
"Versius","SM",54,141.22155438319,133.075332906049,150.778007018202
"Versius","SM",55,140.552944933353,132.399535029007,150.202714356204
"Versius","SM",56,139.911340979131,131.743360415231,149.37027942355
"Versius","SM",57,139.294757955168,130.962630793443,148.842360506122
"Versius","SM",58,138.701255876133,130.472849961699,148.091176736205
"Versius","SM",59,138.128948650556,129.942718928594,147.380470242551
"Versius","SM",60,137.576014415626,129.384579269541,146.800126626894
"Versius","SM",61,137.040706715862,128.871951556986,146.329969443992
"Versius","SM",62,136.521366313237,128.327165190532,145.701760983085
"Versius","SM",63,136.016433385382,127.762096144163,145.20861276315
"Versius","SM",64,135.524459843066,127.278014921758,144.663047892832
"Versius","SM",65,135.044121479225,126.688019233824,144.127154786258
"Versius","SM",66,134.574229650192,126.167958617092,143.426657273972
"Versius","SM",67,134.113742186147,125.634352267416,142.823470343668
"Versius","SM",68,133.661773232651,125.324704445401,142.385147684701
"Versius","SM",69,133.217601738457,124.937486466481,141.802670360631
"Versius","SM",70,132.780678326677,124.55595416284,141.285764686447
"Versius","SM",71,132.350630316243,124.192439991487,140.778361615672
"Versius","SM",72,131.927264697731,123.763732671064,140.339253491376
"Versius","SM",73,131.510568910996,123.398556156937,140.100331240461
"Versius","SM",74,131.10070932038,123.079594719018,139.686661899092
"Versius","SM",75,130.698027334979,122.792381220338,139.296491848013
"Versius","SM",76,130.303033174985,122.434452536596,138.761194151519
"Versius","SM",77,129.916397338662,122.124040062458,138.337945419029
"Versius","SM",78,129.538939876411,121.68618663938,137.809465681518
"Versius","SM",79,129.171617626952,121.283207486577,137.354574135486
"Versius","SM",80,128.815509614476,121.113842574182,136.968500113918
"Versius","SM",81,128.471800843315,120.737207674003,136.705419037269
"Versius","SM",82,128.141764757488,120.50101512982,136.457830415832
"Versius","SM",83,127.826744655485,120.245861046997,136.154836885648
"Versius","SM",84,127.528134365671,119.874171417966,135.831520852141
"Versius","SM",85,127.247358494691,119.566518662146,135.562397174908
"Versius","SM",86,126.985852560402,119.401960043301,135.362425958825
"Versius","SM",87,126.745043312854,119.2418089887,135.041987007286
"Versius","SM",88,126.526329532343,118.917059558502,134.897476897265
"Versius","SM",89,126.331063573526,118.701274062115,134.70620351362
"Versius","SM",90,126.160533900088,118.627727434166,134.445423670552
"Versius","SM",91,126.015948826494,118.546309661797,134.338203013261
"Versius","SM",92,125.898421653083,118.167081178839,134.285953931053
"Versius","SM",93,125.808957349124,118.126408739287,134.316428439909
"Versius","SM",94,125.748440906353,118.148099954869,134.279468776722
"Versius","SM",95,125.717627453793,117.968429927942,134.309536350316
"Versius","SM",96,125.717134193912,117.922285240858,134.314868859168
"Versius","SM",97,125.747434190891,118.001581668887,134.431818816131
"Versius","SM",98,125.808852014425,118.070143711675,134.391931583936
"Versius","SM",99,125.90156121717,118.148278682855,134.624757875895
"Versius","SM",100,126.025583600982,118.173106714146,134.790516469372
"Versius","SM",101,126.180790206431,118.406093723921,135.111127345748
"Versius","SM",102,126.366903941874,118.723503368649,135.284677290115
"Versius","SM",103,126.583503752589,118.880864361516,135.586778327619
"Versius","SM",104,126.830030217163,119.121256866093,135.756892149611
"Versius","SM",105,127.105792447576,119.356265293555,136.158944950475
"Versius","SM",106,127.409976161311,119.640318108672,136.501661963554
"Versius","SM",107,127.741652788476,119.940788946016,136.813352290705
"Versius","SM",108,128.099789474475,120.397076806854,137.271640858273
"Versius","SM",109,128.483259839499,120.68245807855,137.79174361639
"Versius","SM",110,128.890855360073,121.139970089152,138.433340698666
