"platform","q","cum"
"Versius","2021-Q1",0
"da Vinci","2021-Q1",1
"Laparoscopic","2021-Q1",1
"Versius","2021-Q2",0
"da Vinci","2021-Q2",5
"Laparoscopic","2021-Q2",7
"Versius","2021-Q3",0
"da Vinci","2021-Q3",9
"Laparoscopic","2021-Q3",23
"Versius","2021-Q4",2
"da Vinci","2021-Q4",13
"Laparoscopic","2021-Q4",39
"Versius","2022-Q1",10
"da Vinci","2022-Q1",14
"Laparoscopic","2022-Q1",50
"Versius","2022-Q2",15
"da Vinci","2022-Q2",15
"Laparoscopic","2022-Q2",60
"Versius","2022-Q3",39
"da Vinci","2022-Q3",15
"Laparoscopic","2022-Q3",70
"Versius","2022-Q4",86
"da Vinci","2022-Q4",16
"Laparoscopic","2022-Q4",71
"Versius","2023-Q1",137
"da Vinci","2023-Q1",16
"Laparoscopic","2023-Q1",71
"Versius","2023-Q2",179
"da Vinci","2023-Q2",18
"Laparoscopic","2023-Q2",71
"Versius","2023-Q3",222
"da Vinci","2023-Q3",19
"Laparoscopic","2023-Q3",71
"Versius","2023-Q4",234
"da Vinci","2023-Q4",19
"Laparoscopic","2023-Q4",71
"Versius","2024-Q1",280
"da Vinci","2024-Q1",37
"Laparoscopic","2024-Q1",74
"Versius","2024-Q2",311
"da Vinci","2024-Q2",55
"Laparoscopic","2024-Q2",85
"Versius","2024-Q3",333
"da Vinci","2024-Q3",71
"Laparoscopic","2024-Q3",89
"Versius","2024-Q4",333
"da Vinci","2024-Q4",124
"Laparoscopic","2024-Q4",98
"Versius","2025-Q1",337
"da Vinci","2025-Q1",192
"Laparoscopic","2025-Q1",99
"Versius","2025-Q2",337
"da Vinci","2025-Q2",274
"Laparoscopic","2025-Q2",99
"Versius","2025-Q3",337
"da Vinci","2025-Q3",346
"Laparoscopic","2025-Q3",100
"Versius","2025-Q4",337
"da Vinci","2025-Q4",371
"Laparoscopic","2025-Q4",100
"Versius","2026-Q1",337
"da Vinci","2026-Q1",401
"Laparoscopic","2026-Q1",100
