"Series","blk","x","mean","n"
"Versius",0,13.3333333333333,225.833333333333,24
"Versius",1,37.9166666666667,186.25,24
"Versius",2,63,177,25
"Versius",3,88,174.44,25
"Versius",4,113,154,25
"Versius",5,138,169.56,25
"Versius",6,163,145.12,25
"Versius",7,188,181.56,25
"Versius",8,213,161.08,25
"Versius",9,238,183.72,25
"Versius",10,263,174.08,25
"Versius",11,288,171.84,25
"Versius",12,313,178.52,25
"Versius",13,331.5,148.333333333333,12
"da Vinci (restart)",0,13,153.4,25
"da Vinci (restart)",1,38,120.6,25
"da Vinci (restart)",2,63,153.12,25
"da Vinci (restart)",3,88,174.84,25
"da Vinci (restart)",4,113,181.84,25
"da Vinci (restart)",5,138,188.44,25
"da Vinci (restart)",6,163,171.4,25
"da Vinci (restart)",7,188,165.4,25
"da Vinci (restart)",8,213,160.84,25
"da Vinci (restart)",9,238,172.6,25
"da Vinci (restart)",10,263,154.16,25
"da Vinci (restart)",11,288,157.6,25
"da Vinci (restart)",12,313,157.72,25
"da Vinci (restart)",13,338,157,25
"da Vinci (restart)",14,363,151.6,25
