"Series","blk","x","p","events","n"
"Versius",0,14.2142857142857,0.214285714285714,3,14
"Versius",1,34.2307692307692,0.230769230769231,3,13
"Versius",2,67.2222222222222,0.333333333333333,3,9
"Versius",3,87.2307692307692,0.153846153846154,2,13
"Versius",4,111.125,0,0,16
"Versius",5,137.666666666667,0.166666666666667,3,18
"Versius",6,165.333333333333,0.133333333333333,2,15
"Versius",7,190.307692307692,0.307692307692308,4,13
"Versius",8,212.705882352941,0,0,17
"Versius",9,238.615384615385,0.153846153846154,2,13
"Versius",10,262.75,0.375,3,8
"Versius",11,289.6875,0.25,4,16
"Versius",12,313.769230769231,0.384615384615385,5,13
"da Vinci (restart)",0,12.5,0.166666666666667,2,12
"da Vinci (restart)",1,37.8571428571429,0.428571428571429,6,14
"da Vinci (restart)",2,62.4117647058824,0.588235294117647,10,17
"da Vinci (restart)",3,86.9375,0.3125,5,16
"da Vinci (restart)",4,113.692307692308,0.230769230769231,3,13
"da Vinci (restart)",5,138.941176470588,0.529411764705882,9,17
"da Vinci (restart)",6,161.142857142857,0.428571428571429,6,14
"da Vinci (restart)",7,188.75,0.15,3,20
"da Vinci (restart)",8,212.5,0.15,3,20
"da Vinci (restart)",9,240.428571428571,0.214285714285714,3,14
"da Vinci (restart)",10,264.466666666667,0.133333333333333,2,15
"da Vinci (restart)",11,289,0.133333333333333,2,15
"da Vinci (restart)",12,311.352941176471,0.352941176470588,6,17
"da Vinci (restart)",13,337.6,0.266666666666667,4,15
"da Vinci (restart)",14,363,0.363636363636364,4,11
