"comparison","outcome","est","lo","hi","lo90","hi90","n","source"
"First 100 cases on each robot","Operative time",-33.456757,-48.922966,-17.990548,-46.436393,-20.477122,"98 vs 100","full model"
"First 100 cases on each robot","Positive margin, pT2",20.8408,2.1043,39.5772,5.1166,36.5649,"49 vs 59","full model"
"First 100 cases on each robot","Positive margin, all stages",5.4461,-8.6549,19.5472,-6.3879,17.2801,"98 vs 98","full model"
"Calendar year 2024","Operative time",6.50584,-4.397657,17.409337,-2.64466,15.65634,"99 vs 105","full model"
"Calendar year 2024","Positive margin, pT2",8.3822,-11.4436,28.2079,-8.2561,25.0204,"48 vs 61","full model"
"Calendar year 2024","Positive margin, all stages",6.7717,-8.4794,22.0228,-6.0275,19.5708,"96 vs 103","full model"
"Calendar year 2024","PSA persistence",-6.6967,-19.5512,6.1578,-17.4845,4.0912,"28 vs 58","Firth (sparse rule)"
"Calendar year 2024","Pad-free at 3 months",-4.1318,-25.0939,16.8302,-21.7237,13.4601,"31 vs 51","Firth (sparse rule)"
"Calendar year 2024","Pad-free at 12 months",-12.3495,-40.2043,15.5053,-35.726,11.027,"18 vs 42","Firth (sparse rule)"
"After the Versius learning phase (post hoc)","Operative time",-2.034188,-7.929736,3.86136,-6.981886,2.91351,"291 vs 382","full model"
"After the Versius learning phase (post hoc)","Positive margin, pT2",9.8386,1.2546,18.4225,2.6347,17.0424,"156 vs 231","full model"
"After the Versius learning phase (post hoc)","Positive margin, all stages",8.4814,1.6658,15.297,2.7616,14.2012,"283 vs 367","full model"
