,da Vinci|1-50,Versius|1-50,Versius|51-100,Versius|101-150,Versius|151-200,Versius|201-250,Versius|251-300,Versius|301-350,da Vinci|51-100,da Vinci|101-150,da Vinci|151-200,da Vinci|201-250,da Vinci|251-300,da Vinci|301-350,da Vinci|351-400,da Vinci|401-450
n,50,50,50,50,50,50,50,37,50,50,50,50,50,50,50,1
age,65.0 (60.0-67.8) n=50,64.0 (62.0-69.8) n=50,65.0 (59.2-70.0) n=50,65.0 (59.2-71.0) n=50,65.5 (59.2-69.8) n=50,67.0 (65.0-69.8) n=50,68.0 (63.2-72.0) n=50,65.0 (62.0-70.0) n=37,65.0 (59.0-68.0) n=50,65.0 (59.5-69.0) n=50,67.0 (61.2-71.8) n=50,65.5 (62.0-69.0) n=50,67.0 (63.2-71.5) n=50,68.0 (63.5-70.8) n=50,66.5 (61.0-69.0) n=50,72.0 (72.0-72.0) n=1
bmi,28.7 (25.9-31.5) n=41,28.9 (26.2-30.7) n=40,28.1 (26.3-30.6) n=37,28.7 (26.3-30.1) n=33,27.2 (25.3-28.9) n=36,27.8 (26.2-31.0) n=49,27.1 (25.3-29.7) n=50,29.1 (25.4-30.5) n=37,28.0 (25.7-30.4) n=49,28.2 (25.9-30.1) n=50,27.4 (24.9-30.6) n=50,27.9 (25.1-30.1) n=50,28.0 (25.7-30.2) n=48,27.3 (25.2-29.8) n=50,29.0 (26.5-30.3) n=50,26.7 (26.7-26.7) n=1
psa,7.9 (5.8-9.4) n=50,8.1 (5.9-11.2) n=50,8.6 (6.1-13.2) n=50,7.0 (5.4-10.4) n=50,8.3 (5.2-11.9) n=50,7.5 (5.1-10.7) n=50,7.2 (5.1-12.2) n=50,8.4 (5.4-13.0) n=37,5.8 (4.7-7.5) n=50,8.2 (5.1-12.1) n=50,6.1 (4.5-8.8) n=50,6.8 (4.6-10.7) n=50,7.1 (5.0-9.7) n=50,8.2 (5.6-11.1) n=50,6.5 (4.6-11.7) n=50,3.1 (3.1-3.1) n=1
specimen_weight_g,49.5 (40.5-65.5) n=47,55.5 (44.0-70.8) n=50,54.0 (45.0-63.0) n=47,56.5 (50.0-74.2) n=50,57.0 (49.0-65.0) n=49,53.0 (38.2-67.2) n=50,58.0 (47.0-67.0) n=49,51.8 (42.0-61.0) n=36,48.0 (40.5-68.2) n=50,49.5 (41.0-61.0) n=48,50.0 (38.0-57.0) n=41,53.0 (43.2-61.8) n=42,54.0 (38.0-59.2) n=36,53.0 (43.0-62.0) n=33,46.0 (35.0-52.5) n=11,
biopsy_isup>=3,14/50 (28.0%),14/50 (28.0%),16/49 (32.7%),8/50 (16.0%),9/50 (18.0%),17/50 (34.0%),19/50 (38.0%),15/37 (40.5%),8/50 (16.0%),11/50 (22.0%),11/50 (22.0%),14/50 (28.0%),10/50 (20.0%),10/50 (20.0%),13/50 (26.0%),0/1 (0.0%)
isup_final>=3,15/49 (30.6%),15/50 (30.0%),21/49 (42.9%),14/50 (28.0%),20/49 (40.8%),27/50 (54.0%),27/50 (54.0%),16/37 (43.2%),11/50 (22.0%),14/50 (28.0%),15/50 (30.0%),16/50 (32.0%),25/50 (50.0%),18/50 (36.0%),22/50 (44.0%),1/1 (100.0%)
pT3plus,18/49 (36.7%),22/50 (44.0%),28/50 (56.0%),15/50 (30.0%),19/49 (38.8%),19/50 (38.0%),25/50 (50.0%),18/37 (48.6%),19/50 (38.0%),20/50 (40.0%),17/50 (34.0%),12/50 (24.0%),17/49 (34.7%),19/50 (38.0%),23/50 (46.0%),1/1 (100.0%)
nerve_sparing,37/50 (74.0%),36/50 (72.0%),35/50 (70.0%),42/50 (84.0%),41/50 (82.0%),32/50 (64.0%),32/50 (64.0%),22/37 (59.5%),42/50 (84.0%),39/50 (78.0%),40/50 (80.0%),36/50 (72.0%),39/50 (78.0%),40/50 (80.0%),38/50 (76.0%),1/1 (100.0%)
plnd,30/50 (60.0%),34/50 (68.0%),30/50 (60.0%),26/50 (52.0%),33/50 (66.0%),36/50 (72.0%),40/50 (80.0%),29/37 (78.4%),23/50 (46.0%),36/50 (72.0%),21/50 (42.0%),20/50 (40.0%),46/50 (92.0%),40/50 (80.0%),28/50 (56.0%),0/1 (0.0%)
