,Versius|BE,Versius|SM,da Vinci|BE,da Vinci|SM
n,209,128,205,196
age,67.0 (62.0-71.0) n=209,65.0 (60.0-69.0) n=128,67.0 (62.0-70.0) n=205,65.0 (60.0-68.0) n=196
bmi,28.1 (25.6-30.3) n=208,28.4 (25.9-30.1) n=74,28.0 (25.7-30.4) n=205,28.1 (25.7-30.2) n=184
psa,8.0 (5.6-12.3) n=209,7.5 (5.1-10.6) n=128,6.7 (4.7-10.9) n=205,7.0 (5.0-9.7) n=196
specimen_weight_g,54.0 (42.8-65.0) n=204,56.0 (49.5-70.0) n=127,51.0 (41.0-60.0) n=202,48.0 (41.0-67.5) n=106
biopsy_isup>=3,67/209 (32.1%),31/127 (24.4%),44/205 (21.5%),47/196 (24.0%)
isup_final>=3,110/208 (52.9%),30/127 (23.6%),73/205 (35.6%),64/195 (32.8%)
pT3plus,90/208 (43.3%),56/128 (43.8%),65/205 (31.7%),81/194 (41.8%)
nerve_sparing,142/209 (67.9%),98/128 (76.6%),162/205 (79.0%),150/196 (76.5%)
plnd,141/209 (67.5%),87/128 (68.0%),129/205 (62.9%),115/196 (58.7%)
node_positive,24/145 (16.6%),8/89 (9.0%),17/129 (13.2%),12/116 (10.3%)
prior_turp,3/34 (8.8%),5/24 (20.8%),4/24 (16.7%),5/26 (19.2%)
ct_T3+,22/208 (10.6%),0/124 (0.0%),0/204 (0.0%),6/155 (3.9%)
ct_T1,41/208 (19.7%),11/124 (8.9%),123/204 (60.3%),64/155 (41.3%)
eau_low,44/208 (21.2%),36/124 (29.0%),61/204 (29.9%),48/155 (31.0%)
eau_favourable_intermediate,58/208 (27.9%),50/124 (40.3%),79/204 (38.7%),55/155 (35.5%)
eau_unfavourable_intermediate,41/208 (19.7%),27/124 (21.8%),35/204 (17.2%),27/155 (17.4%)
eau_high,38/208 (18.3%),11/124 (8.9%),28/204 (13.7%),18/155 (11.6%)
eau_locally_advanced,27/208 (13.0%),0/124 (0.0%),1/204 (0.5%),7/155 (4.5%)
