,Versius,da Vinci
n,99,105
age,67.0 (63.0-71.5) n=99,65.0 (59.0-68.0) n=105
bmi,27.8 (25.7-30.3) n=99,28.4 (25.9-30.9) n=104
psa,7.2 (5.3-12.2) n=99,6.8 (5.0-9.1) n=105
specimen_weight_g,54.0 (42.0-65.0) n=97,48.0 (40.8-61.0) n=103
biopsy_isup>=3,35/99 (35.4%),20/105 (19.0%)
isup_final>=3,47/99 (47.5%),28/105 (26.7%)
pT3plus,49/99 (49.5%),41/104 (39.4%)
nerve_sparing,65/99 (65.7%),86/105 (81.9%)
plnd,76/99 (76.8%),59/105 (56.2%)
node_positive,12/78 (15.4%),7/60 (11.7%)
prior_turp,2/12 (16.7%),4/13 (30.8%)
ct_T3+,1/97 (1.0%),3/92 (3.3%)
ct_T1,46/97 (47.4%),47/92 (51.1%)
eau_low,19/97 (19.6%),23/92 (25.0%)
eau_favourable_intermediate,30/97 (30.9%),38/92 (41.3%)
eau_unfavourable_intermediate,25/97 (25.8%),18/92 (19.6%)
eau_high,21/97 (21.6%),9/92 (9.8%)
eau_locally_advanced,2/97 (2.1%),4/92 (4.3%)
