platform,centre,year,I,II,III,IV,blank,none
Versius,BE,2022,42,5,0,0,1,0
Versius,BE,2023,69,9,2,0,1,0
Versius,BE,2024,0,2,1,0,38,39
Versius,SM,2021,2,0,0,0,0,0
Versius,SM,2022,35,1,0,0,0,0
Versius,SM,2023,66,1,0,0,0,0
Versius,SM,2024,0,0,0,0,7,12
Versius,SM,2025,0,0,0,0,1,3
da Vinci,BE,2024,0,0,0,0,13,12
da Vinci,BE,2025,1,1,0,1,100,66
da Vinci,BE,2026,1,0,0,0,4,6
da Vinci,SM,2021,12,1,0,0,0,0
da Vinci,SM,2022,3,0,0,0,0,0
da Vinci,SM,2023,3,0,0,0,0,0
da Vinci,SM,2024,1,0,0,0,24,55
da Vinci,SM,2025,2,1,1,0,27,47
da Vinci,SM,2026,0,2,0,0,4,13
