platform,centre,year,n,or_time,ebl,los,cd30,cd90,cd_any,reoperation,urine_leak,readmission_30d,psm,ln_yield,pad_free_3m,pad_free_12m,psa_persistence_eau,psa_persistence_nccn,specimen_weight_g,bmi,ct
Versius,BE,2022,48,1.0,1.0,1.0,0.979,0.604,1.0,0.25,1.0,0.771,0.958,0.708,0.5,0.271,0.375,0.708,0.979,0.979,1.0
Versius,BE,2023,81,1.0,0.988,1.0,0.988,0.556,1.0,0.358,1.0,0.63,0.975,0.568,0.37,0.296,0.383,0.63,0.975,1.0,1.0
Versius,BE,2024,80,1.0,1.0,1.0,0.525,0.312,0.538,1.0,1.0,0.512,0.988,0.762,0.225,0.125,0.212,0.45,0.975,1.0,0.988
Versius,SM,2021,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0
Versius,SM,2022,36,0.944,1.0,1.0,1.0,0.694,1.0,1.0,1.0,0.694,1.0,0.611,0.611,0.333,0.417,0.611,1.0,0.389,0.972
Versius,SM,2023,67,1.0,0.881,1.0,1.0,0.896,1.0,1.0,1.0,0.91,0.97,0.657,0.627,0.209,0.746,0.881,0.985,0.522,0.985
Versius,SM,2024,19,1.0,1.0,1.0,0.632,0.526,0.632,1.0,1.0,0.895,0.895,0.789,0.684,0.421,0.579,0.895,1.0,1.0,0.947
Versius,SM,2025,4,1.0,0.5,1.0,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.25,0.75,1.0,1.0,0.75
da Vinci,BE,2024,25,1.0,0.88,1.0,0.48,0.16,0.48,1.0,1.0,0.44,1.0,0.56,0.08,0.16,0.28,0.36,0.96,1.0,1.0
da Vinci,BE,2025,169,1.0,0.959,1.0,0.408,0.231,0.42,1.0,0.947,0.45,0.97,0.639,0.195,0.047,0.284,0.402,0.988,1.0,0.994
da Vinci,BE,2026,11,1.0,1.0,1.0,0.636,0.0,0.636,1.0,1.0,0.091,1.0,0.636,0.0,0.0,0.091,0.091,1.0,1.0,1.0
da Vinci,SM,2021,13,1.0,1.0,1.0,1.0,0.692,1.0,1.0,1.0,0.846,1.0,0.462,0.385,0.231,0.462,0.769,0.846,0.462,1.0
da Vinci,SM,2022,3,1.0,1.0,1.0,1.0,0.333,1.0,1.0,1.0,0.667,1.0,0.667,0.333,0.0,0.333,0.667,1.0,0.667,1.0
da Vinci,SM,2023,3,1.0,0.667,1.0,1.0,0.667,1.0,1.0,1.0,0.667,1.0,0.667,0.333,0.333,0.333,0.667,1.0,0.667,1.0
da Vinci,SM,2024,80,1.0,1.0,1.0,0.7,0.588,0.7,1.0,1.0,0.888,0.975,0.562,0.612,0.475,0.638,0.85,0.988,0.988,0.838
da Vinci,SM,2025,78,1.0,1.0,1.0,0.654,0.564,0.654,1.0,1.0,0.859,0.897,0.615,0.615,0.051,0.654,0.795,0.128,0.974,0.731
da Vinci,SM,2026,19,1.0,1.0,1.0,0.789,0.421,0.789,1.0,1.0,0.474,1.0,0.632,0.158,0.0,0.316,0.316,0.0,1.0,0.632
