,Versius,da Vinci,all_robotic
n,337,401,738
age,66.0 (61.0-70.0) n=337,66.0 (61.0-69.0) n=401,66.0 (61.0-70.0) n=738
bmi,28.1 (25.8-30.3) n=282,28.1 (25.7-30.3) n=389,28.1 (25.7-30.3) n=671
psa,7.9 (5.4-11.9) n=337,6.9 (4.9-10.3) n=401,7.3 (5.1-11.0) n=738
specimen_weight_g,55.0 (45.0-67.5) n=331,49.8 (41.0-61.0) n=308,53.0 (42.5-65.0) n=639
biopsy_isup>=3,98/336 (29.2%),91/401 (22.7%),189/737 (25.6%)
isup_final>=3,140/335 (41.8%),137/400 (34.2%),277/735 (37.7%)
pT3plus,146/336 (43.5%),146/399 (36.6%),292/735 (39.7%)
nerve_sparing,240/337 (71.2%),312/401 (77.8%),552/738 (74.8%)
plnd,228/337 (67.7%),244/401 (60.8%),472/738 (64.0%)
node_positive,32/234 (13.7%),29/245 (11.8%),61/479 (12.7%)
prior_turp,8/58 (13.8%),9/50 (18.0%),17/108 (15.7%)
ct_T3+,22/332 (6.6%),6/359 (1.7%),28/691 (4.1%)
ct_T1,52/332 (15.7%),187/359 (52.1%),239/691 (34.6%)
eau_low,80/332 (24.1%),109/359 (30.4%),189/691 (27.4%)
eau_favourable_intermediate,108/332 (32.5%),134/359 (37.3%),242/691 (35.0%)
eau_unfavourable_intermediate,68/332 (20.5%),62/359 (17.3%),130/691 (18.8%)
eau_high,49/332 (14.8%),46/359 (12.8%),95/691 (13.7%)
eau_locally_advanced,27/332 (8.1%),8/359 (2.2%),35/691 (5.1%)
