,Versius,da Vinci restart,Versius 1-50,Versius 51-100,Versius 101-200,Versius 201-337,Restart 1-50,Restart 51-100,Restart 101-200,Restart 201-382
"Operations, n",337,382,50,50,100,137,50,50,100,182
"Operative time, min",170 (132-202),160 (135-180),202 (169-240),172 (140-200),152 (120-190),170 (130-198),128 (110-154),162 (141-182),180 (150-200),155 (135-180)
"Estimated blood loss, mL",400 (300-500),200 (200-400),500 (500-500),425 (300-500),400 (400-500),400 (288-500),400 (400-400),400 (200-400),200 (100-200),200 (150-200)
"Postoperative stay, days",4 (4-5),4 (4-4),4 (4-5),4 (4-5),4 (4-4),4 (4-5),4 (4-4),4 (4-5),4 (4-4),4 (4-4)
"Positive margin, all stages",92/328 (28%),127/367 (35%),19/49 (39%),17/49 (35%),21/97 (22%),35/133 (26%),20/49 (41%),21/49 (43%),32/94 (34%),54/175 (31%)
"Positive margin, pT2",35/183 (19%),69/231 (30%),6/27 (22%),5/22 (23%),9/62 (15%),15/72 (21%),8/26 (31%),15/33 (45%),21/64 (33%),25/108 (23%)
"Positive margin, pT3 or higher",57/144 (40%),56/134 (42%),13/22 (59%),12/27 (44%),12/34 (35%),20/61 (33%),11/22 (50%),6/16 (38%),11/30 (37%),28/66 (42%)
Nodes removed (dissections),11 (4-16),8 (4-15),8 (3-13),13 (8-18),13 (5-19),10 (4-16),8 (3-12),8 (5-15),8 (4-13),9 (4-18)
Clavien-Dindo grade ≥III,5/292 (2%),2/212 (1%),1/50 (2%),2/50 (4%),1/100 (1%),1/92 (1%),0/40 (0%),0/25 (0%),2/49 (4%),0/98 (0%)
Reoperation,6/249 (2%),0/382 (0%),1/19 (5%),3/44 (7%),2/72 (3%),0/114 (0%),0/50 (0%),0/50 (0%),0/100 (0%),0/182 (0%)
Transfusion within 30 days,3/233 (1%),7/229 (3%),0/38 (0%),2/33 (6%),1/76 (1%),0/86 (0%),2/40 (5%),2/36 (6%),0/57 (0%),3/96 (3%)
Readmission within 30 days,0/238 (0%),0/235 (0%),0/38 (0%),0/35 (0%),0/78 (0%),0/87 (0%),0/42 (0%),0/37 (0%),0/60 (0%),0/96 (0%)
PSA persistence (EAU),16/144 (11%),16/164 (10%),1/16 (6%),5/25 (20%),4/57 (7%),6/46 (13%),1/30 (3%),2/25 (8%),3/34 (9%),10/75 (13%)
"At most one pad per day, 3 months",82/152 (54%),73/130 (56%),14/24 (58%),16/29 (55%),30/48 (62%),22/51 (43%),23/30 (77%),14/21 (67%),13/32 (41%),23/47 (49%)
"At most one pad per day, 12 months",73/83 (88%),45/50 (90%),13/14 (93%),12/16 (75%),18/20 (90%),30/33 (91%),20/22 (91%),18/19 (95%),7/9 (78%),-
"Pad-free, 12 months",31/83 (37%),24/50 (48%),6/14 (43%),4/16 (25%),6/20 (30%),15/33 (45%),13/22 (59%),9/19 (47%),2/9 (22%),-
