Period,Hospital,Robot,Operations,Structured margin report,"Positive margin, pT2","Positive margin, all stages",Nerve sparing,pT3 or higher
2021-2023,Bełchatów,Versius,129,19%,8/74 (11%),21/125 (17%),90/129 (70%),51/128 (40%)
2021-2023,SalveMedica,Versius,105,100%,12/60 (20%),37/103 (36%),83/105 (79%),43/105 (41%)
2021-2023,SalveMedica,da Vinci,19,100%,6/14 (43%),10/19 (53%),12/19 (63%),5/19 (26%)
2024,Bełchatów,Versius,80,100%,12/41 (29%),27/79 (34%),52/80 (65%),39/80 (49%)
2024,Bełchatów,da Vinci,25,100%,6/16 (38%),9/25 (36%),19/25 (76%),9/25 (36%)
2024,SalveMedica,Versius,19,100%,2/7 (29%),4/17 (24%),13/19 (68%),10/19 (53%)
2024,SalveMedica,da Vinci,80,100%,17/45 (38%),34/78 (44%),67/80 (84%),32/79 (41%)
2025-2026,Bełchatów,da Vinci,180,100%,33/121 (27%),57/175 (33%),143/180 (79%),56/180 (31%)
2025-2026,SalveMedica,Versius,4,100%,1/1 (100%),3/4 (75%),2/4 (50%),3/4 (75%)
2025-2026,SalveMedica,da Vinci,97,100%,13/49 (27%),27/89 (30%),71/97 (73%),44/96 (46%)
